year,group,sd_log_gdp_pc
2004,All,1.5067569029974683
2004,Developed,0.7249267377180748
2004,Emerging,0.9531493382231552
2005,All,1.50513098208176
2005,Developed,0.7075726979226195
2005,Emerging,0.9612058392000806
2006,All,1.5060364972508815
2006,Developed,0.6895936604157772
2006,Emerging,0.9698980245402156
2007,All,1.5029977731494795
2007,Developed,0.6652054990665546
2007,Emerging,0.9788423305165379
2008,All,1.4921472540899174
2008,Developed,0.64306100750641
2008,Emerging,0.9811735205109854
2009,All,1.4660392019352346
2009,Developed,0.6468506030157918
2009,Emerging,0.9643679052291588
2010,All,1.459806813758636
2010,Developed,0.649930707142491
2010,Emerging,0.963243117009467
2011,All,1.4556300177023516
2011,Developed,0.6443772859840646
2011,Emerging,0.9573426003099783
2012,All,1.4455840487460168
2012,Developed,0.6353863764149967
2012,Emerging,0.9626392451898327
2013,All,1.4382517572839546
2013,Developed,0.6293457178641193
2013,Emerging,0.9624089755970638
2014,All,1.4329381635431486
2014,Developed,0.6229693200413734
2014,Emerging,0.955912309114223
2015,All,1.4317601378865341
2015,Developed,0.6197595787567773
2015,Emerging,0.9501064779394812
2016,All,1.4292595984982772
2016,Developed,0.6137349165243527
2016,Emerging,0.9468629354991589
2017,All,1.4284146058510518
2017,Developed,0.6063241217505523
2017,Emerging,0.9486840164123224
2018,All,1.4292015398125573
2018,Developed,0.5991323693061943
2018,Emerging,0.9480075772224298
2019,All,1.4279227244727943
2019,Developed,0.5912633086940342
2019,Emerging,0.9442274328317627
2020,All,1.4227558245724516
2020,Developed,0.5994376543878338
2020,Emerging,0.9275053451243278
2021,All,1.4439797338116749
2021,Developed,0.5963005202051559
2021,Emerging,0.9500853487826726
2022,All,1.449863314215194
2022,Developed,0.5904446966432557
2022,Emerging,0.9571517952283344
2023,All,1.4461854302960224
2023,Developed,0.5825062047095327
2023,Emerging,0.9650546956495507
2024,All,1.4451355456410833
2024,Developed,0.5751976747205475
2024,Emerging,0.9698948883362061
