country_code,country_name,region,region_id,income_group,income_group_id
ABW,Aruba,Latin America & Caribbean ,LCN,High income,HIC
AFE,Africa Eastern and Southern,Aggregates,NA,Aggregates,NA
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",MEA,Low income,LIC
AFR,Africa,Aggregates,NA,Aggregates,NA
AFW,Africa Western and Central,Aggregates,NA,Aggregates,NA
AGO,Angola,Sub-Saharan Africa ,SSF,Lower middle income,LMC
ALB,Albania,Europe & Central Asia,ECS,Upper middle income,UMC
AND,Andorra,Europe & Central Asia,ECS,High income,HIC
ARB,Arab World,Aggregates,NA,Aggregates,NA
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",MEA,High income,HIC
ARG,Argentina,Latin America & Caribbean ,LCN,Upper middle income,UMC
ARM,Armenia,Europe & Central Asia,ECS,Upper middle income,UMC
ASM,American Samoa,East Asia & Pacific,EAS,High income,HIC
ATG,Antigua and Barbuda,Latin America & Caribbean ,LCN,High income,HIC
AUS,Australia,East Asia & Pacific,EAS,High income,HIC
AUT,Austria,Europe & Central Asia,ECS,High income,HIC
AZE,Azerbaijan,Europe & Central Asia,ECS,Upper middle income,UMC
BDI,Burundi,Sub-Saharan Africa ,SSF,Low income,LIC
BEA,East Asia & Pacific (IBRD-only countries),Aggregates,NA,Aggregates,NA
BEC,Europe & Central Asia (IBRD-only countries),Aggregates,NA,Aggregates,NA
BEL,Belgium,Europe & Central Asia,ECS,High income,HIC
BEN,Benin,Sub-Saharan Africa ,SSF,Lower middle income,LMC
BFA,Burkina Faso,Sub-Saharan Africa ,SSF,Low income,LIC
BGD,Bangladesh,South Asia,SAS,Lower middle income,LMC
BGR,Bulgaria,Europe & Central Asia,ECS,High income,HIC
BHI,IBRD countries classified as high income,Aggregates,NA,Aggregates,NA
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",MEA,High income,HIC
BHS,"Bahamas, The",Latin America & Caribbean ,LCN,High income,HIC
BIH,Bosnia and Herzegovina,Europe & Central Asia,ECS,Upper middle income,UMC
BLA,Latin America & the Caribbean (IBRD-only countries),Aggregates,NA,Aggregates,NA
BLR,Belarus,Europe & Central Asia,ECS,Upper middle income,UMC
BLZ,Belize,Latin America & Caribbean ,LCN,Upper middle income,UMC
BMN,"Middle East, North Africa, Afghanistan & Pakistan (IBRD only)",Aggregates,NA,Aggregates,NA
BMU,Bermuda,North America,NAC,High income,HIC
BOL,Bolivia,Latin America & Caribbean ,LCN,Lower middle income,LMC
BRA,Brazil,Latin America & Caribbean ,LCN,Upper middle income,UMC
BRB,Barbados,Latin America & Caribbean ,LCN,High income,HIC
BRN,Brunei Darussalam,East Asia & Pacific,EAS,High income,HIC
BSS,Sub-Saharan Africa (IBRD-only countries),Aggregates,NA,Aggregates,NA
BTN,Bhutan,South Asia,SAS,Lower middle income,LMC
BWA,Botswana,Sub-Saharan Africa ,SSF,Upper middle income,UMC
CAA,Sub-Saharan Africa (IFC classification),Aggregates,NA,Aggregates,NA
CAF,Central African Republic,Sub-Saharan Africa ,SSF,Low income,LIC
CAN,Canada,North America,NAC,High income,HIC
CEA,East Asia and the Pacific (IFC classification),Aggregates,NA,Aggregates,NA
CEB,Central Europe and the Baltics,Aggregates,NA,Aggregates,NA
CEU,Europe and Central Asia (IFC classification),Aggregates,NA,Aggregates,NA
CHE,Switzerland,Europe & Central Asia,ECS,High income,HIC
CHI,Channel Islands,Europe & Central Asia,ECS,High income,HIC
CHL,Chile,Latin America & Caribbean ,LCN,High income,HIC
CHN,China,East Asia & Pacific,EAS,Upper middle income,UMC
CIV,Cote d'Ivoire,Sub-Saharan Africa ,SSF,Lower middle income,LMC
CLA,Latin America and the Caribbean (IFC classification),Aggregates,NA,Aggregates,NA
CME,Middle East and North Africa (IFC classification),Aggregates,NA,Aggregates,NA
CMR,Cameroon,Sub-Saharan Africa ,SSF,Lower middle income,LMC
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,SSF,Low income,LIC
COG,"Congo, Rep.",Sub-Saharan Africa ,SSF,Lower middle income,LMC
COL,Colombia,Latin America & Caribbean ,LCN,Upper middle income,UMC
COM,Comoros,Sub-Saharan Africa ,SSF,Lower middle income,LMC
CPV,Cabo Verde,Sub-Saharan Africa ,SSF,Upper middle income,UMC
CRI,Costa Rica,Latin America & Caribbean ,LCN,High income,HIC
CSA,South Asia (IFC classification),Aggregates,NA,Aggregates,NA
CSS,Caribbean small states,Aggregates,NA,Aggregates,NA
CUB,Cuba,Latin America & Caribbean ,LCN,Upper middle income,UMC
CUW,Curacao,Latin America & Caribbean ,LCN,High income,HIC
CYM,Cayman Islands,Latin America & Caribbean ,LCN,High income,HIC
CYP,Cyprus,Europe & Central Asia,ECS,High income,HIC
CZE,Czechia,Europe & Central Asia,ECS,High income,HIC
DEA,East Asia & Pacific (IDA-eligible countries),Aggregates,NA,Aggregates,NA
DEC,Europe & Central Asia (IDA-eligible countries),Aggregates,NA,Aggregates,NA
DEU,Germany,Europe & Central Asia,ECS,High income,HIC
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",MEA,Lower middle income,LMC
DLA,Latin America & the Caribbean (IDA-eligible countries),Aggregates,NA,Aggregates,NA
DMA,Dominica,Latin America & Caribbean ,LCN,Upper middle income,UMC
DMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA total)",Aggregates,NA,Aggregates,NA
DNK,Denmark,Europe & Central Asia,ECS,High income,HIC
DNS,IDA countries in Sub-Saharan Africa not classified as fragile situations ,Aggregates,NA,Aggregates,NA
DOM,Dominican Republic,Latin America & Caribbean ,LCN,Upper middle income,UMC
DSA,South Asia (IDA-eligible countries),Aggregates,NA,Aggregates,NA
DSF,IDA countries in Sub-Saharan Africa classified as fragile situations ,Aggregates,NA,Aggregates,NA
DSS,Sub-Saharan Africa (IDA-eligible countries),Aggregates,NA,Aggregates,NA
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",MEA,Upper middle income,UMC
EAP,East Asia & Pacific (excluding high income),Aggregates,NA,Aggregates,NA
EAR,Early-demographic dividend,Aggregates,NA,Aggregates,NA
EAS,East Asia & Pacific,Aggregates,NA,Aggregates,NA
ECA,Europe & Central Asia (excluding high income),Aggregates,NA,Aggregates,NA
ECS,Europe & Central Asia,Aggregates,NA,Aggregates,NA
ECU,Ecuador,Latin America & Caribbean ,LCN,Upper middle income,UMC
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",MEA,Lower middle income,LMC
EMU,Euro area,Aggregates,NA,Aggregates,NA
ERI,Eritrea,Sub-Saharan Africa ,SSF,Low income,LIC
ESP,Spain,Europe & Central Asia,ECS,High income,HIC
EST,Estonia,Europe & Central Asia,ECS,High income,HIC
ETH,Ethiopia,Sub-Saharan Africa ,SSF,Low income,LIC
EUU,European Union,Aggregates,NA,Aggregates,NA
FIN,Finland,Europe & Central Asia,ECS,High income,HIC
FJI,Fiji,East Asia & Pacific,EAS,Upper middle income,UMC
FRA,France,Europe & Central Asia,ECS,High income,HIC
FRO,Faroe Islands,Europe & Central Asia,ECS,High income,HIC
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,EAS,Upper middle income,UMC
FXS,"IDA countries classified as fragile situations, excluding Sub-Saharan Africa",Aggregates,NA,Aggregates,NA
GAB,Gabon,Sub-Saharan Africa ,SSF,Upper middle income,UMC
GBR,United Kingdom,Europe & Central Asia,ECS,High income,HIC
GEO,Georgia,Europe & Central Asia,ECS,Upper middle income,UMC
GHA,Ghana,Sub-Saharan Africa ,SSF,Lower middle income,LMC
GIB,Gibraltar,Europe & Central Asia,ECS,High income,HIC
GIN,Guinea,Sub-Saharan Africa ,SSF,Lower middle income,LMC
GMB,"Gambia, The",Sub-Saharan Africa ,SSF,Low income,LIC
GNB,Guinea-Bissau,Sub-Saharan Africa ,SSF,Low income,LIC
GNQ,Equatorial Guinea,Sub-Saharan Africa ,SSF,Upper middle income,UMC
GRC,Greece,Europe & Central Asia,ECS,High income,HIC
GRD,Grenada,Latin America & Caribbean ,LCN,Upper middle income,UMC
GRL,Greenland,Europe & Central Asia,ECS,High income,HIC
GTM,Guatemala,Latin America & Caribbean ,LCN,Upper middle income,UMC
GUM,Guam,East Asia & Pacific,EAS,High income,HIC
GUY,Guyana,Latin America & Caribbean ,LCN,High income,HIC
HIC,High income,Aggregates,NA,Aggregates,NA
HKG,"Hong Kong SAR, China",East Asia & Pacific,EAS,High income,HIC
HND,Honduras,Latin America & Caribbean ,LCN,Lower middle income,LMC
HPC,Heavily indebted poor countries (HIPC),Aggregates,NA,Aggregates,NA
HRV,Croatia,Europe & Central Asia,ECS,High income,HIC
HTI,Haiti,Latin America & Caribbean ,LCN,Lower middle income,LMC
HUN,Hungary,Europe & Central Asia,ECS,High income,HIC
IBB,"IBRD, including blend",Aggregates,NA,Aggregates,NA
IBD,IBRD only,Aggregates,NA,Aggregates,NA
IBT,IDA & IBRD total,Aggregates,NA,Aggregates,NA
IDA,IDA total,Aggregates,NA,Aggregates,NA
IDB,IDA blend,Aggregates,NA,Aggregates,NA
IDN,Indonesia,East Asia & Pacific,EAS,Upper middle income,UMC
IDX,IDA only,Aggregates,NA,Aggregates,NA
IMN,Isle of Man,Europe & Central Asia,ECS,High income,HIC
